TV Shows,Channel ID,Subscribers, Viewers 
The Pavilion,UCCLdGxMC4fwkaQ4AIcL7Z8w,965K ," 287,782,084 "
Harna Mana hai,UC6HQ4d3xq9EgSeJgMhc-4AQ,1.04M," 439,002,998 "
Har Lamha Purjosh,UCOtNchTkC6QgZ3i1LtJejtQ,651K," 197,360,074 "
Samaatv,UCJekW1Vj5fCVEGdye_mBN6Q,9.58M," 3,905,985,572 "
Geo news,UCF73oBsmZPG6YRZV-vVN1-A,1.19M," 302,220,461 "
SUNO NEWS,UCB82Zom1MYh8VV4q7wXkfGA,464K," 160,371,528 "
Zee News,UCIvaYmXn910QMdemBG3v1pQ,33M," 19,058,253,226 "
Star Sports,UCmqfX0S3x0I3uwLkPdpX03w,6.6M," 2,515,079,311 "
Sports Now,UCZMyWT6FtpSn_d5x1xkT_5A,80.9K," 34,144,280 "
Sports Yaari,UCjFw-0Vdfy2KW78NClGECXw,774K," 549,820,389 "
